time_alive,player,player_wins,enemy_wins,number_of_player_parts,number_of_enemy_parts,player_parts_lost,enemy_parts_lost,current_round,device_id,key,AB_test,timestamp
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.119754
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.126899
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.134484
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.122818
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.130463
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.168189
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.140000
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.170573
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.147826
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.182599
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.201221
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.213041
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.226940
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.231920
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.236486
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.250145
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.252123
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.254136
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.267292
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.271579
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.279788
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.291043
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.300336
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.308149
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.310008
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.314060
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.328415
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.338148
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.344932
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.353954
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.357350
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.364939
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.368076
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.381740
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.385883
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.392004
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.395625
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.398204
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.405633
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.409685
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.415448
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.423493
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.424573
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.426514
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.435311
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.437537
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.443894
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.449152
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.451112
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.459501
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.469443
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.472772
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.479153
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.481877
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.492109
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.492841
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.498941
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.501507
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.507685
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.516443
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.518070
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.520296
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.523177
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.525519
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.534358
11,Jonsey,0,3,5,5,0,0,3,32a7e6878141def7c2fd776b6c2f193927aedc0a,MonterEnergy,0,2025-03-31T10:05:26.544089
